,Tweets
0,"7-3-19 【सूचना】
सोनिया आंटी मेरा पासपोर्ट 2006 मे बना था।जो अकवर रोड कार्यालय मे छूट गया था।भेजने का कष्ट करे।मै कि… https://t.co/fbitDK6SXC"
1,"RT @LambaAlka: कश्मीरियों को एक अडवाइजरी जारी करनी चाहिये,जो सीधे BJP सरकारों के मुँह पर करारा तमाचा भी होगी,जो इन जैसे दो कौड़ी के फर्जी भ…"
2,"RT @RealHistoryPic: Today:

1) Rafale file stolen from Defense Ministry.

2) BJP MP beats Black &amp; Blue to a BJP MLA.

3) A youth thrashed b…"
3,"RT @AKrisnapriya: वो शेक्सपियर के कॉल की पासदारी.. कर रहा है
वो मोहब्बत नहीं...अदाकारी कर रहा है...🌹"
4,"RT @Benarasiyaa: In Muzaffarnagar, BJP workers brutally thrashed a youth who confronted govt's claim over job and education during an elect…"
5,RT @vinodkapri: बीजेपी के नेता यूपी में विकास के लिए बैठक कर रहे थे और इसी बैठक में बीजेपी के MP शरद त्रिपाठी ने BJP के ही MLA को यूँ पीटा…
6,"RT @BJP4India: BJP National President Shri @AmitShah will attend ‘Lakshya JITO’ program at GMDC Hall, Ahmedabad, Gujarat. Stay tuned for LI…"
7,"RT @NANDUVARU: @GohilMayur6296 @GojiyaRambhai
@BJP_GirSomnath
@BJP4Maha
#BharatKeMannKiBaat
वंदे मातरम् https://t.co/h0K3UYAMJM"
8,"RT @GauravPandhi: Latest HD satellite image shows buildings of the Madrasa run by JeM stands intact in Balakot.

As I have been saying, Air…"
9,"@MinhazMerchant BJP - 290. #NDA - 330-340, as Things stand today. Ram Mandir, war wid Pakistan &amp; couple more initia… https://t.co/i4GspEWfNG"
10,विधायक पर जूते बरसाने वाले MP को मोदी सरकार ने विदेश मंत्रालय सहित कई कमेटियों में दिया है स्थान https://t.co/JuBltsD3No
11,"RT @AshishVK7771: हे भगवान मुझे उठा ले..
और फेक दे .
.
.
.
.
.
.
किसी खूबसुरत लड़की की बाहों मे, और वो किस कर ले मुझे 😄😆😪😜😜😜😜😜

ये बातें…"
12,"RT @dungachoud6: 🙏 #सुप्रभात 🙏

खटकता उओ उनको हूँ साहब जहाँ मैं झुकता नहीं, 
बाकी जिन्हें अच्छा लगता हूँ वो मुझे झुकने नहीं देते...!!

#जय…"
13,RT @pavangbhati01: I Like BJP...😊 #MeraParivarBhajapaParivar
14,"RT @AliSohrab007: राफेल सौदे की फाईलें चोरी
मेरी लूट सबसे मज़बूत…
BJP सांसद ने भाजपा MLA को जूते से कूटा
मेरा बूट सबसे मज़बूत…
मैं एक के बद…"
15,"RT @Abhijain666: राम लल्ला हम आएंगे मंदिर वही बनाएंगे
समझे

वीडियो जरूर देखें 
कमेंट में लिखे 
जय श्री राम https://t.co/RVO3hJGcVT"
16,"RT @SitaramYechury: BJP govts, at the Centre or in states, exist only for illegal profiteering of Modi's rich cronies at the cost of public…"
17,"RT @NishaMi53322353: लोकतंत्र जब खतरे में आया है तब जूते निकले हैं, कभी जयप्रकाश के पैरों की शोभा बने तो कभी केजरी के मुखश्रृंगार की

इसलिए…"
18,"#Rafale

#BJP #RSS #NDA #Modi @RSSorg @BJP4India #ArunJaitley @arunjaitley #NarendraModi @narendramodi @rsprasad… https://t.co/eKFGwJfyqN"
19,"RT @Abhijain666: कुछ तो बदला है जब शहीद की माता जी माननीया
रक्षा मंत्री @nsitharaman जी का स्वागत करने फूलो फूलो के साथ आई तो माननीया रक्षा…"
20,RT @AmanKayamHai_ET: A BJP MP Sharad Tripathi and BJP MLA Rakesh Bhagel rain shoe-blows on each other in the presence of UP Minister Ashuto…
21,"देश के कामगारों को समर्पित प्रधानमंत्री श्रम योगी मानधन योजना। 
अब देश के लगभग 42 करोड़ कामगार बहन- भाईयों के लिए 6… https://t.co/YSosfRsdNu"
